C1orf112,HPA023778;HPA024451;
AIPL1,HPA026578;
CD68,CAB000051;CAB000066;HPA048982;CAB072861;CAB072862;
FXR2,CAB011205;HPA022997;
MPDU1,HPA014845;
PHF20L1,HPA025060;HPA028417;
CCNT1,HPA004892;CAB009016;HPA072012;
PUS7L,HPA056203;HPA058750;
KRI1,HPA043110;HPA043574;
ILF3,HPA001897;
AP1M2,HPA054999;
CDKN2D,CAB011201;HPA043546;
MTUS1,HPA067903;HPA069795;
NGDN,HPA000944;
BCL2L2,CAB040539;HPA048740;
AJUBA,HPA006171;
PARP2,HPA052003;
EAPP,HPA002916;
MIS18BP1,HPA006504;
TEP1,HPA029206;
CDO1,HPA036573;HPA057503;
ITFG1,HPA015590;HPA019728;
SEC14L1,HPA021463;HPA028703;
ARHGEF6,HPA003578;
MAP7D3,HPA035598;HPA058101;
FGF13,HPA002809;
ASH2L,HPA042289;
TTI2,HPA023523;HPA029823;
KLF16,HPA052481;
TMEM8A,HPA051281;HPA064673;
DOHH,HPA041953;HPA076271;
MAU2,HPA059897;
SHC2,HPA006136;
PLPPR3,HPA052293;HPA057034;
ABHD17A,HPA043270;HPA047226;HPA069225;
ERMARD,HPA041741;
PHF10,HPA055649;
GALNT8,HPA012638;HPA073461;
GNL3L,HPA036314;HPA036315;
MOSPD2,HPA003334;
DOCK6,HPA049423;HPA049424;
ECSIT,HPA042979;
ELOF1,HPA045606;
PRKCSH,CAB004465;HPA041940;HPA043560;
THEM6,HPA023255;
TOMM40,HPA036231;HPA036232;
LRCH2,HPA003233;
FAM98C,HPA040930;HPA041730;
RPL36,HPA047153;
BST2,HPA017060;
NSUN5,HPA020536;HPA045590;HPA046867;
COLGALT1,HPA047821;
DDA1,HPA042134;HPA055272;
PGLS,HPA040744;HPA042032;
LSM7,HPA041850;
SNX9,HPA031410;HPA057203;
QRSL1,HPA029585;HPA029587;
RSPH3,HPA039109;HPA040230;
AFDN,CAB013496;HPA030212;HPA030213;HPA030214;HPA030215;HPA049868;
ACTN4,HPA001873;HPA006035;
STK33,HPA015742;HPA056855;
NDUFA10,HPA059529;HPA067045;CAB070846;
ARPC1B,HPA004832;
ZSWIM6,HPA035938;
FCHO1,HPA041653;HPA062981;
MAP1S,HPA050934;HPA054637;
LSM4,HPA040932;
TRPM4,HPA041169;
ZNF557,HPA003151;HPA029291;
CRB3,HPA013835;
OLFM1,HPA057444;
UBAC1,HPA005651;
ZBTB46,HPA013997;
SAMD10,HPA040973;
COL5A1,HPA030769;
ATXN10,HPA049531;
TUBGCP2,HPA037885;
PNPLA7,HPA009130;
TAF4,HPA008599;CAB031484;
OSBPL2,HPA041127;HPA042659;
ADRM1,HPA042266;
PRDM12,HPA043143;
FIBCD1,HPA055353;
PRRC2B,HPA021022;HPA064301;
TRIM28,CAB010066;HPA064033;
ZC3H4,HPA040934;HPA041068;
MAP3K10,HPA007039;
LRRC47,HPA008512;HPA012018;
SESN2,HPA018191;
SMPDL3B,HPA030561;
ATP5IF1,HPA027999;
MED18,HPA027429;
CLIP1,CAB004399;HPA026678;
CCDC62,HPA039021;HPA058741;
HIP1R,CAB017187;HPA038135;HPA038136;
ZNF317,HPA042075;HPA048625;
EIF3G,HPA041997;
C19orf66,HPA042001;
DNMT1,HPA002694;CAB005876;
ZNF426,HPA029342;
PNCK,HPA007458;
DKC1,HPA000166;HPA000447;HPA001022;CAB033086;
SLC7A10,HPA041884;HPA057036;
NOL11,HPA022010;
CASZ1,HPA028222;HPA029927;
POLN,HPA035939;HPA035940;
PPIL4,HPA031599;HPA031600;
ULBP2,CAB018974;
SYNE1,HPA019113;
EPS8L1,HPA041851;HPA043545;
AAR2,CAB034220;HPA048645;
TTLL9,HPA041772;HPA055676;
ARHGEF9,HPA035419;HPA055291;
ATP6V1E1,CAB009528;CAB018699;HPA029196;
ZNF227,HPA030573;
ZNF428,HPA042596;HPA048072;
GSE1,HPA036365;HPA042090;
SH3BGRL,HPA051248;
PRR7,HPA046636;
CAP1,HPA030124;
ABCB7,HPA034982;
MRPS25,HPA043490;
RBSN,HPA044878;
PDLIM4,HPA011912;
KIF3A,CAB037085;
GFPT2,HPA056892;HPA059910;
PSME3,CAB008388;HPA012510;
RPL27,HPA002649;
AOC3,HPA000980;CAB025797;
ACLY,CAB007783;HPA022434;HPA022953;HPA022959;HPA028758;
VPS25,CAB004978;HPA052217;HPA057284;
UBE2D2,HPA003920;
EXOC4,HPA031443;HPA031444;
ACAP3,HPA049317;HPA058381;
KREMEN2,HPA003223;
THOC6,HPA052953;
TRAF7,HPA041229;
MAP1B,CAB009792;HPA022275;
WDR44,HPA038084;HPA046719;
ZCCHC9,HPA038404;
TOP2A,CAB002448;HPA006458;HPA026773;
RARA,HPA058282;HPA071548;
CHD1L,HPA027789;HPA028670;
MCCC2,HPA038300;HPA038301;HPA061546;
ZNF304,HPA050531;
ZNF132,HPA008726;
SELENOS,HPA010025;
SNRPA1,HPA045622;HPA048499;
C19orf12,HPA046930;
FAAP24,HPA041168;
ABHD12B,HPA002873;
GCH1,HPA028612;
DNAJB1,CAB017450;HPA063247;
FBXW9,HPA042087;
RFX1,HPA048722;HPA052966;
ZNF20,HPA020887;
C19orf57,HPA044012;HPA054615;
DHX30,HPA034806;
RAF1,HPA002640;CAB019291;
PPARG,CAB004282;HPA051239;HPA063663;
TRIM5,CAB013497;HPA023420;HPA023422;
RRP8,HPA038487;HPA057562;
EFR3A,HPA022859;HPA023092;HPA023402;
PTCD3,HPA041154;HPA041382;
IMMT,CAB022439;HPA036164;HPA036165;
ILKAP,HPA004752;HPA056099;
SCLY,HPA020190;HPA055760;
PTPRE,HPA015870;HPA021872;
RAP1GAP2,HPA022148;HPA022896;
RPA1,CAB004563;HPA006914;HPA046497;
POPDC3,HPA012514;
LANCL2,HPA019711;HPA029535;
DDC,HPA017742;
GRSF1,HPA036984;HPA036985;
ANKRD17,HPA045024;HPA063731;
UTP3,HPA035655;HPA041453;
H3F3B,CAB037166;CAB037187;CAB037221;HPA042570;
TRIM47,HPA014933;
ZRANB2,HPA053960;HPA061949;HPA063298;
KDM6B,HPA037988;
VPS13B,HPA043865;
PCBD2,HPA036428;
SDF2,HPA042799;
ERAL1,HPA021425;HPA024423;
ANKEF1,HPA041151;
PCED1A,HPA050816;
BTBD3,HPA041424;HPA042048;
PCNA,CAB000148;HPA030521;HPA030522;HPA030523;
RIN2,HPA034641;
DAP3,HPA023687;
KHDC4,HPA008796;
ARHGEF11,HPA011026;HPA012037;HPA014658;
RAB25,HPA010872;CAB033645;
TESMIN,HPA018539;
MMACHC,HPA027394;HPA027399;HPA027402;
DPH2,HPA045796;
NASP,HPA028136;HPA030518;HPA030520;
MUTYH,HPA008732;
LPIN3,HPA051466;HPA052667;HPA070640;
AP3B1,HPA038737;HPA045458;
SYT4,HPA010574;
FBXO44,HPA003363;
RSG1,HPA028453;
CASP9,HPA001473;CAB004348;HPA046488;
DCTN4,CAB017532;HPA038026;
XPO4,HPA053768;
POMP,HPA026995;
CHRM3,HPA024106;HPA048036;
MYH10,CAB017180;HPA047541;HPA057198;
MPRIP,HPA022034;HPA022901;
SLC41A1,HPA014721;HPA015138;
TPT1,CAB008364;HPA039437;
RFC3,HPA030149;
MORC4,HPA000395;HPA015547;HPA050250;
TBC1D8B,HPA023883;HPA027527;
FAM104A,HPA021459;HPA079514;
SRRM1,HPA049941;HPA058612;
KMT5C,HPA052294;
ZNF414,HPA053769;
HSPBP1,CAB005865;HPA070398;HPA071444;
CSNK1G2,HPA034868;HPA056572;
SLF1,HPA040793;HPA054213;
WDR74,HPA037795;HPA038419;
RTN3,HPA015649;HPA015650;
FOPNL,HPA040599;
PDZD2,CAB020784;HPA036503;HPA036504;HPA064387;HPA076072;
MORC2,HPA000436;
MYO18B,HPA000953;
C1QTNF6,HPA002042;
SEC14L4,HPA069748;
ADCK2,HPA036036;
KRBA1,HPA021237;HPA050448;
C12orf29,HPA039663;
ATP13A3,HPA029471;
IPO8,HPA018439;HPA023765;
LARS,HPA036424;HPA040881;
SPINK5,HPA009067;HPA011351;CAB015347;
CCDC59,HPA038555;
AMPD3,HPA038662;HPA047408;
SBF2,HPA050933;
MICAL2,HPA030437;HPA039895;HPA040438;
RRAS2,CAB010420;HPA050942;
ZFC3H1,HPA007072;HPA007151;
DPF2,HPA020880;HPA056786;
MEN1,HPA030342;
DGLUCY,HPA041423;HPA052932;
NUMB,HPA002874;CAB011478;
MED6,HPA030764;HPA069039;
EIF2S1,CAB011663;HPA064885;
CTIF,HPA016865;HPA024801;
IER3IP1,HPA010027;
MRPS36,HPA035802;HPA056795;
CCNB1,CAB000115;CAB003804;HPA030741;HPA061448;
CAMK1,CAB031904;HPA051409;
VHL,CAB005430;HPA031631;HPA031632;
BHLHE40,HPA028922;
DPH6,HPA042976;HPA055496;
EMC7,HPA010029;HPA047572;
TSPAN2,HPA015640;HPA073306;
PSRC1,HPA056561;
SORT1,HPA006889;CAB011498;
LAMTOR5,HPA006812;
TRIM45,HPA030266;HPA054308;
AP4B1,HPA028162;HPA028652;
NAPG,HPA008208;HPA011389;
PPHLN1,HPA038902;HPA038903;
FKBP11,HPA041709;
SLC38A2,HPA035180;
YWHAQ,HPA007925;CAB010286;HPA061603;
ROCK2,HPA007459;CAB008666;HPA044109;
IAH1,HPA040523;HPA076040;
IL6ST,HPA010558;CAB025784;
NAV1,CAB012302;HPA018127;HPA027887;
CDC73,HPA002326;CAB016359;HPA069324;
NARS,CAB034257;HPA040017;
RBM17,HPA037477;HPA037478;
CCNH,CAB019416;HPA044138;
KCTD1,HPA057808;HPA062486;
EMP1,HPA051931;HPA056250;
LRP4,HPA011934;HPA012300;
DDB2,CAB025912;HPA058406;
USP26,HPA000424;HPA027310;
RBMX2,HPA026609;
YARS,HPA017936;HPA018950;HPA018954;
PHC2,HPA047403;
CDCA8,HPA028120;HPA028258;HPA028783;CAB040294;
BTF3L4,HPA067026;
ZCCHC11,HPA027412;HPA027973;
PRPF38A,HPA053099;HPA058407;
RNF138,HPA041101;
ELP2,HPA002996;CAB020835;
TIMM10,HPA039946;
DHX34,HPA042159;HPA043558;
TMEM258,HPA044602;
TMEM165,HPA038299;HPA062424;
COL4A2,CAB010751;HPA029118;HPA069337;
UBAC2,HPA013448;
ARGLU1,HPA034962;HPA056792;
BIVM,HPA050126;
ERCC5,HPA045845;HPA050126;HPA050374;
TPP2,HPA021069;HPA049630;
KDELC1,CAB020780;HPA043946;HPA064398;
STT3A,HPA030735;
ETS1,CAB002575;HPA063230;
WDR36,HPA037796;HPA037797;
OSTF1,HPA020514;
RFK,HPA023259;CAB033887;HPA057163;
C9orf40,HPA042167;
ANXA1,HPA011271;HPA011272;CAB013023;CAB035987;CAB058693;
GOLM1,HPA010638;HPA011929;CAB015341;
PSAT1,CAB014882;CAB040567;HPA042924;
ADAM19,HPA055537;
CCNJL,HPA049970;
TAOK3,HPA017160;
SDS,HPA039230;
HNF1A,CAB010430;HPA035231;
FBXO21,HPA062411;HPA071452;
RNFT2,HPA064161;
BICDL1,HPA061116;
TRAFD1,HPA039254;HPA039266;
DMTF1,HPA023846;
CCDC146,HPA020082;HPA020105;
FAM71F1,HPA020636;
RINT1,HPA019875;HPA031646;
TES,HPA015269;HPA018123;
MDFIC,HPA030716;
MTO1,HPA030230;HPA030232;
KHDC1,HPA029032;
CEP162,HPA030170;HPA030171;HPA030172;HPA030173;
SYNCRIP,CAB010895;HPA041275;HPA069241;
ORC3,HPA039553;HPA053748;
MAP3K7,HPA007633;HPA075335;
EHF,HPA050923;HPA060734;
CD63,HPA010088;CAB026356;HPA073506;
FAIM2,HPA018790;HPA048800;
ESPL1,CAB012185;HPA073188;
ZC3H10,HPA039236;HPA062265;
ACVR1B,CAB026126;HPA063761;
LTV1,HPA030159;HPA030160;HPA030161;
MAP7,HPA029712;HPA029713;
AFG1L,HPA030154;HPA030155;HPA030659;
NHSL1,HPA029966;HPA029967;
NMBR,HPA026665;
SMPD2,HPA018110;HPA018125;
REPS1,HPA029961;HPA029962;
CCT7,HPA008425;
RAB11FIP5,HPA036406;HPA036407;
SMYD5,HPA015514;HPA049002;
MDM2,CAB000086;CAB016303;
BCO1,HPA043811;
KIAA0513,HPA012866;HPA014431;
DYNC1LI2,HPA057201;
FBXL8,HPA035587;HPA035588;
SLC9A5,HPA041004;HPA041329;
PCNX2,HPA013815;HPA014427;
KCNK1,HPA016049;CAB022588;
URB2,HPA008902;HPA046788;
STX6,HPA038557;HPA038558;
RNASEL,HPA002633;CAB010906;
DHX9,CAB011819;HPA028050;HPA055684;
KIAA1614,HPA028227;HPA061684;
NPL,HPA028345;HPA075808;
FAM129A,HPA028172;HPA028231;HPA028657;
RC3H1,HPA027428;HPA027434;HPA027448;
PAX3,HPA063659;HPA069000;
TTLL4,HPA027091;HPA050252;
USP37,HPA045160;
HTR2B,HPA012867;HPA063658;
DNAJB2,HPA036268;
EIF4E2,HPA019253;HPA077074;
COX5B,HPA034517;
REV1,HPA044534;HPA051036;
TSGA10,HPA036879;
MFSD9,HPA055293;HPA061859;
MRPS9,HPA043476;HPA048479;
C2orf49,HPA043846;HPA060814;
ISCU,CAB006329;HPA038602;HPA057592;
ALDH1L2,HPA039481;HPA059282;
USP44,HPA026543;
PLXNC1,HPA066899;
WASHC4,HPA045666;HPA046737;
FLNB,HPA004747;HPA004886;CAB019322;
RNASEH2B,HPA040084;HPA041469;
TBC1D4,HPA040145;HPA059885;
THSD1,HPA012611;CAB020796;
LRCH1,HPA021536;
SUCLA2,HPA039435;HPA039536;HPA061528;
RCBTB1,HPA056783;
MED4,HPA006232;
COG3,HPA040353;HPA054470;
LMO7,HPA020923;HPA050184;
SCEL,HPA039737;HPA040154;
EDNRB,CAB017842;HPA027546;
LCP1,HPA019493;CAB020673;
SCRN1,HPA024517;
C7orf25,HPA020120;HPA049635;
TNS3,HPA055338;HPA056015;
CHST12,HPA041680;
IGF2BP3,HPA002037;HPA076951;
RAC1,CAB035994;HPA047820;
BZW2,HPA022813;HPA026709;
TBRG4,HPA020582;HPA050430;
NACAD,HPA020981;HPA079208;
DBNL,HPA020265;HPA027735;
CCM2,HPA020273;HPA021669;HPA065815;
TTC5,HPA045008;HPA054198;
MTHFS,HPA008067;HPA054177;
ALPK3,HPA026558;
CALCOCO2,HPA022989;HPA023019;HPA023195;
NMT1,HPA022949;HPA022963;
SRSF1,CAB013073;HPA061301;
VEZF1,HPA027520;HPA048315;
TACO1,HPA021626;HPA021643;HPA024294;
TEX2,HPA020648;HPA057116;
BRIP1,HPA005474;
ACTL6A,CAB012188;HPA018671;HPA063149;
NDUFB5,HPA005640;
MRPL47,HPA037553;HPA047779;
TRA2B,CAB011692;HPA063597;HPA064972;
MARCH7,HPA014275;HPA022152;
TANK,CAB010345;HPA037675;HPA037676;
SKIL,HPA008472;HPA014233;
EPRS,HPA026490;HPA030052;
VPS45,HPA027425;HPA027441;
KCTD3,HPA015142;
CBWD2,HPA042759;HPA042813;
CCDC115,HPA034598;
SAP130,HPA034664;
BIN1,CAB001945;HPA003894;HPA005437;
UGGT1,HPA012761;HPA015127;
STAM,CAB034399;HPA043882;
DNAJC1,HPA013432;
ODF2,HPA001874;HPA048841;
TOR1B,HPA013403;HPA013697;CAB022709;
C9orf78,HPA021216;HPA021232;HPA021242;
TOR1A,CAB012473;HPA051195;
FAM129B,HPA021284;HPA021417;HPA023261;HPA024312;
STXBP1,HPA008209;HPA023483;CAB034434;
CDK5RAP2,HPA035820;HPA035821;HPA046529;CAB079753;
STX17,HPA001204;
USP20,HPA006287;HPA007008;
BAAT,HPA021251;HPA021330;
ATP6V1G1,CAB004615;HPA042898;
TSTD2,HPA022537;HPA024241;HPA064304;
PSMB7,HPA052408;HPA054902;
TRMO,HPA021281;HPA052197;
GOLGA1,CAB013065;HPA044329;HPA050555;
XPA,CAB000155;HPA056856;
NCBP1,HPA042411;HPA049031;
PDCL,HPA021571;HPA021647;CAB026473;
RPL35,HPA006047;
DSCC1,HPA023780;HPA024401;
DERL1,HPA016562;CAB037269;
MYC,CAB000084;CAB010307;HPA055893;HPA066556;
NOV,HPA018449;HPA019684;CAB034423;
RANBP6,HPA043748;HPA052684;
POLR1E,HPA022527;HPA052400;
PLAA,CAB005035;HPA020994;HPA020996;
UBAP2,HPA021684;
APTX,HPA064930;
RNF38,HPA015853;
TLN1,CAB002006;HPA004748;
TMEM8B,HPA052130;HPA062701;
GRHPR,HPA022971;HPA078575;
HINT2,HPA020961;HPA059109;
IGFBPL1,HPA051354;
DENND4C,HPA014917;HPA015096;
RPS6,CAB004027;HPA031153;
KLC4,HPA030168;HPA030169;
PIM1,HPA003941;CAB017040;
TFAP2A,CAB000326;HPA056871;
YIPF3,HPA014859;HPA063699;
FRS3,HPA030162;HPA030174;
TJAP1,HPA030164;HPA030165;HPA030166;
SLC22A23,HPA014697;
HMGA1,CAB032200;HPA065612;HPA068442;
FLOT1,HPA001393;CAB007766;
PGBD1,HPA007267;
TAF8,HPA031730;HPA031731;HPA031734;
FAM8A1,HPA044698;HPA073675;
C6orf52,HPA051142;
MYO7A,HPA028918;CAB034059;
ARRB1,CAB003763;HPA049318;HPA070249;
THAP12,HPA008758;
ANKRD42,HPA039917;
NUMA1,HPA019841;HPA019859;HPA029912;
CCDC90B,HPA011130;HPA011931;
SYTL2,HPA039651;
RAB30,HPA054514;HPA060565;
RNF121,HPA046041;
TGS1,HPA025024;HPA029824;
SDCBP,CAB012245;HPA023840;
DDX60,HPA046952;
BUD13,HPA038340;HPA038341;
MMP7,CAB025869;HPA051358;
DCUN1D5,HPA050863;
TRIM29,HPA020053;HPA074841;
SLC37A4,HPA038939;HPA038940;
PPP2R1B,CAB004034;HPA018908;
FDX1,HPA041630;HPA062087;
C11orf1,HPA038410;HPA057519;
FXYD6,HPA041334;HPA042284;
MAP2K5,CAB022094;HPA027347;HPA027755;
SQOR,HPA017079;HPA041589;
CTDSPL2,HPA040763;HPA062198;
HAUS2,HPA039965;
RTF1,HPA006714;
PARP6,HPA026991;
RPLP1,HPA003368;
TUBGCP4,HPA043212;
RMDN3,HPA009975;HPA074840;
ITPKA,HPA040454;
ADAM10,CAB001709;HPA050670;
ZNF280D,HPA030233;
RSL24D1,HPA062724;HPA063392;
GCHFR,HPA046258;
BCAR3,HPA014858;
RABGGTB,HPA026585;HPA027167;HPA030793;
GIPC2,HPA051212;HPA062684;
ARHGAP29,HPA026534;
IFI44,HPA027148;HPA043858;
RTCA,HPA027982;HPA027990;HPA028151;HPA028331;
PPM1B,HPA016745;
PNPT1,CAB033424;HPA034602;HPA034603;
DYNC2LI1,HPA062905;
CYP1B1,CAB011705;HPA026863;
ACTR2,CAB005083;HPA015050;
PREB,HPA013582;HPA014133;
FBXO11,HPA002690;
LRPPRC,CAB033786;HPA036408;HPA036409;
MFSD13A,HPA018031;
MYOF,HPA014245;
LOXL4,CAB033876;HPA037609;
STAMBPL1,HPA040202;
TACC2,HPA031020;HPA031021;HPA061394;
CALHM2,HPA014706;
ARL3,HPA036292;HPA063596;
CEP55,HPA023430;
ENTPD1,CAB002494;HPA014067;
PLCE1,HPA015597;HPA015598;
DBR1,HPA035365;
ANXA7,CAB004312;HPA064290;
TET1,HPA019032;HPA057273;
ATIC,CAB013462;HPA021012;
METTL5,HPA038223;
SSB,CAB004643;HPA017287;
OLA1,HPA035790;HPA041443;
FAM117B,HPA003229;HPA028746;
WDR12,HPA036389;
ITGAV,CAB002499;HPA004856;
SLC35A5,HPA035519;HPA057964;
SENP7,HPA027259;HPA071998;
COX17,HPA042226;HPA048158;
MNS1,HPA039975;HPA040382;
USP8,HPA050215;
SECISBP2L,HPA039875;
TMOD3,HPA001849;
GLCE,HPA040481;HPA048216;
SHF,HPA057381;
PPCDC,HPA045667;
UBL7,HPA040423;HPA041897;
FAM13A,HPA038108;HPA038109;
HERC3,HPA039170;
HERC6,HPA035846;
ZGRF1,HPA030704;HPA030706;
AP1AR,HPA035863;HPA058115;
COPS4,HPA036894;HPA042828;
HNRNPD,HPA004911;
SEC31A,HPA005457;
FGF5,CAB010313;HPA042442;
KIAA1109,HPA038076;
RAP1GDS1,HPA019060;
LARP1B,HPA036280;
NUP54,HPA035929;HPA058122;
BMP2K,HPA026436;HPA026451;HPA026501;
G3BP2,HPA018304;HPA018425;
SCARB2,CAB015415;HPA018014;
CCNG2,HPA034684;
CNOT6L,HPA042688;
USO1,CAB010108;HPA038282;HPA038283;
GSTCD,HPA046160;HPA061782;
INTS12,HPA035772;HPA041814;
CASP6,CAB003775;HPA011337;HPA024303;
HADH,HPA039588;HPA043888;
SEC24B,HPA038181;
PPP3CA,HPA012778;CAB018581;
FBN2,HPA012853;CAB026401;
MAPK8IP3,CAB005580;HPA041785;HPA069311;
RGS3,HPA044234;
GUCD1,HPA022786;
ETV6,HPA000264;
FGD4,HPA039235;
SINHCAF,HPA038167;HPA057585;
PRICKLE1,HPA001379;HPA050037;
AMIGO2,HPA054004;HPA059601;
SCAF11,HPA038862;HPA045456;HPA046345;
LRIG3,HPA010773;
INHBE,HPA016843;CAB034017;
SLC15A4,HPA016713;
TCHP,HPA038638;HPA061543;
FAM222A,HPA040181;HPA058774;
SLC46A3,HPA039930;
LNX2,HPA040698;
TARBP2,HPA051181;HPA061454;CAB069406;
NABP2,HPA044615;HPA057213;
SMARCC2,CAB004321;HPA021213;HPA061788;
BRCA2,HPA026815;
KANSL2,HPA038497;HPA038498;
GALNT6,HPA011762;HPA017086;
ANKRD52,HPA043815;
ZNF740,HPA035691;
ESD,HPA039700;
RB1,CAB000095;CAB016687;HPA050082;
SBNO1,HPA042388;
MORN3,HPA038709;HPA038710;
SETD1B,HPA021667;HPA059412;
VPS33A,HPA038701;
RHOF,HPA045912;HPA076019;
DENR,HPA021783;
DIAPH3,HPA032151;
RBM26,HPA040252;
ABHD13,HPA032143;HPA032144;
RAB20,HPA002882;HPA052111;HPA068647;
NOVA1,HPA004155;
TMX1,HPA003085;
FRMD6,HPA001297;
SLC38A6,HPA018508;
NAA30,HPA057824;
DCAF5,HPA041575;HPA048098;
WDR89,HPA000813;
STON2,HPA003086;
EFCAB11,HPA051209;
FBLN5,HPA000848;HPA000868;CAB025843;
SERPINA10,HPA048739;
WARS,HPA005573;HPA018944;
SORD,HPA040260;HPA040621;
SERF2,HPA056613;
LYSMD2,HPA040460;
GTF2A2,HPA056239;
SRP14,HPA053738;HPA065118;
BAHD1,HPA041196;
CDAN1,HPA039404;HPA040787;
ETFA,HPA018990;HPA018993;HPA018996;HPA024089;
HMG20A,HPA008126;
TSPAN3,HPA015996;
WDR61,HPA039932;HPA040065;
NEIL1,HPA054084;
MAN2C1,HPA040627;HPA067407;
TPM1,HPA000261;HPA009066;CAB017698;HPA047089;HPA053624;
PML,HPA008312;CAB010194;CAB016304;
LINS1,HPA038578;HPA038579;
SCAMP2,HPA014699;HPA019194;
HAPLN3,HPA039237;
FANCI,HPA039972;HPA040379;
WDR93,HPA046196;HPA048112;
TICRR,HPA046746;HPA049454;
NTRK3,CAB009233;HPA027484;HPA048065;
MFGE8,CAB002753;HPA002807;
UNC45A,HPA039228;
FURIN,CAB009499;HPA067869;
CRTC3,HPA043735;HPA063691;
EFL1,HPA039654;HPA047110;HPA052345;
SEPT12,HPA041128;
GLYR1,CAB017022;HPA048226;HPA050136;
PMM2,HPA040852;HPA063649;
TGFB1I1,CAB020844;
ARMC5,HPA041524;HPA063706;
PARN,HPA006314;CAB011673;HPA012010;
FTO,CAB017123;HPA041086;HPA068695;
UQCRC2,HPA007998;HPA019146;
CDR2,HPA018151;HPA023870;
ARHGAP17,HPA041703;
DHX38,HPA041347;HPA041604;
MARVELD3,HPA043514;HPA045471;
ZFHX3,HPA059353;
KATNB1,HPA041165;HPA041839;
CMTM3,HPA013870;HPA072695;
TLDC1,HPA041020;
OSGIN1,HPA019239;
ZSCAN32,HPA005758;
RPS2,HPA055133;
PDPK1,CAB004272;HPA035199;
TIGD7,HPA041357;HPA041474;
DEF8,HPA041745;HPA049434;
GALNS,CAB026404;HPA042433;HPA074225;
GAS8,HPA041311;HPA048238;
MED9,HPA056415;
NCOR1,HPA043246;HPA050288;HPA051168;CAB072830;
COPS3,HPA021997;HPA050557;
GID4,HPA044348;
ZNF287,HPA029290;
GFOD2,HPA040939;HPA041112;
NOB1,HPA041522;HPA049430;HPA067411;
PRPSAP2,HPA021881;
UNC45B,HPA017861;
PCTP,HPA022979;
TOB1,HPA047839;
NPEPPS,HPA021453;HPA045649;
LRRC46,HPA021882;HPA074893;
SCRN2,HPA022934;HPA023434;
CLTC,CAB010389;CAB011571;CAB017155;HPA059143;
PTRH2,HPA012897;
TAF4B,HPA028937;
AFG3L2,HPA004479;HPA004480;
GNAL,CAB015464;HPA051160;
SLC39A6,HPA042377;
RPRD1A,HPA040602;
GAREM1,HPA040709;HPA042046;
OSBPL1A,HPA040959;HPA043401;
RMC1,HPA043589;
PELP1,HPA053966;HPA056028;HPA060760;
WRAP53,HPA023026;HPA028130;HPA029928;
TP53,CAB002973;CAB039238;CAB039239;HPA051244;HPA063532;CAB072876;
CCDC40,HPA022974;
ARHGDIA,CAB010005;HPA021407;
SLC16A3,CAB017490;HPA021451;
CARD14,HPA023388;
ANAPC11,HPA021989;HPA027838;
FN3KRP,HPA056172;HPA065831;
NARF,HPA053006;
FOXK2,HPA027523;HPA073491;
TRIM65,HPA021575;HPA021578;HPA064820;
CBX8,HPA031462;
WDR45B,HPA017886;
CBX4,HPA008228;HPA012021;
RNF165,HPA041615;HPA047798;
DYM,HPA043551;HPA049187;
ELAC1,HPA040867;HPA066483;
SMAD4,HPA019154;
ZCCHC2,HPA040943;
PMAIP1,HPA051063;
RETREG3,HPA016492;
ERBB2,CAB000043;HPA001060;HPA001338;HPA001383;CAB020416;CAB062555;
BRD4,HPA015055;HPA061646;CAB068177;CAB068178;
PRDM15,HPA024268;HPA029255;HPA029256;
FEM1A,HPA016565;HPA063622;
SH3GL1,HPA021485;
DUS3L,HPA041854;HPA041944;HPA062846;
DPP9,HPA036059;
CCDC97,HPA043320;HPA043572;
ZFP14,HPA030637;
PGGHG,HPA039383;HPA058829;
HUNK,HPA027295;HPA027372;
COL6A1,HPA019142;HPA029401;
COL6A2,HPA007029;HPA030920;HPA038799;
SCYL1,HPA015015;
APP,CAB000157;HPA001462;
GEMIN7,HPA052075;
SLC6A3,HPA012763;HPA013602;CAB016249;CAB078172;
CAPN10,HPA004170;HPA056098;
NLRP12,HPA042099;HPA042981;
ZNF787,HPA035140;
TIMM29,HPA041858;
CARM1,CAB032961;HPA043561;HPA048073;HPA069313;
SIGLEC10,CAB025807;HPA027093;
FAM71E1,HPA048111;
RPL13A,HPA038751;
NOSIP,HPA043464;HPA062132;
RCN3,HPA043134;HPA050402;
ZNF614,HPA021197;
EFHD2,HPA048961;
PGD,HPA031314;HPA031315;
CNKSR1,HPA030847;
C1orf216,HPA028299;HPA031343;
EVA1B,HPA041928;HPA043537;
WDTC1,HPA028177;HPA028180;HPA028182;
HSPG2,CAB009820;HPA018892;CAB020718;HPA072690;
ITGB3BP,HPA028463;
SERBP1,HPA020559;CAB026297;
AZIN2,HPA028527;
RPS8,HPA029266;
PTPRF,HPA012710;
LMO4,CAB022345;HPA045877;HPA061638;
IGSF3,HPA036305;HPA036306;
KCNA10,HPA015061;CAB022564;
PSMA5,HPA028392;HPA028398;HPA028441;
FNDC7,HPA028079;HPA054297;
CELSR2,HPA013952;
TIPRL,HPA027995;HPA054282;
NME7,HPA038014;HPA054289;
POGK,HPA007838;HPA031630;HPA075919;
CREG1,HPA056390;
DCAF6,HPA054305;
TBX19,HPA005800;HPA072686;
TMCO1,HPA054768;HPA078775;
POU2F1,CAB002608;HPA058559;HPA064323;
